TITLE = "B00014"
VARIABLES = "x", "y", "Reynold stress ZZ"
ZONE T="Frame 1" I=84, J=163, F=POINT
-6.810190 48.562302 0.000000
-6.496367 48.562302 0.000000
-6.182544 48.562302 0.000000
-5.868721 48.562302 0.000000
-5.554898 48.562302 0.000000
-5.241075 48.562302 0.000000
-4.927252 48.562302 0.000000
-4.613429 48.562302 0.000000
-4.299606 48.562302 0.000000
-3.985783 48.562302 0.000000
-3.671960 48.562302 0.000000
-3.358137 48.562302 0.000000
-3.044314 48.562302 0.000000
-2.730491 48.562302 0.000000
-2.416668 48.562302 0.000000
-2.102845 48.562302 0.000000
-1.789022 48.562302 0.000000
-1.475199 48.562302 0.000000
-1.161376 48.562302 0.000000
-0.847553 48.562302 0.000000
-0.533730 48.562302 0.000000
-0.219907 48.562302 0.000000
0.093916 48.562302 0.000000
0.407739 48.562302 0.000000
0.721562 48.562302 0.000000
1.035385 48.562302 0.000000
1.349208 48.562302 0.000000
1.663032 48.562302 0.000000
1.976854 48.562302 0.000000
2.290677 48.562302 0.000000
2.604500 48.562302 0.000000
2.918324 48.562302 0.000000
3.232146 48.562302 0.000000
3.545969 48.562302 0.000000
3.859793 48.562302 0.000000
4.173615 48.562302 0.000000
4.487438 48.562302 0.000000
4.801261 48.562302 0.000000
5.115085 48.562302 0.000000
5.428907 48.562302 0.000000
5.742730 48.562302 0.000000
6.056554 48.562302 0.000000
6.370377 48.562302 0.000000
6.684199 48.562302 0.000000
6.998022 48.562302 0.000000
7.311846 48.562302 0.000000
7.625669 48.562302 0.000000
7.939491 48.562302 0.000000
8.253315 48.562302 0.000000
8.567138 48.562302 0.000000
8.880960 48.562302 0.000000
9.194784 48.562302 0.000000
9.508606 48.562302 0.000000
9.822430 48.562302 0.000000
10.136253 48.562302 0.000000
10.450075 48.562302 0.000000
10.763899 48.562302 0.000000
11.077723 48.562302 0.000000
11.391544 48.562302 0.000000
11.705368 48.562302 0.000000
12.019190 48.562302 0.000000
12.333014 48.562302 0.000000
12.646837 48.562302 0.000000
12.960659 48.562302 0.000000
13.274483 48.562302 0.000000
13.588306 48.562302 0.000000
13.902128 48.562302 0.000000
14.215952 48.562302 0.000000
14.529776 48.562302 0.000000
14.843597 48.562302 0.000000
15.157421 48.562302 0.000000
15.471243 48.562302 0.000000
15.785067 48.562302 0.000000
16.098890 48.562302 0.000000
16.412712 48.562302 0.000000
16.726536 48.562302 0.000000
17.040359 48.562302 0.000000
17.354181 48.562302 0.000000
17.668005 48.562302 0.000000
17.981829 48.562302 0.000000
18.295650 48.562302 0.000000
18.609474 48.562302 0.000000
18.923298 48.562302 0.000000
19.237120 48.562302 0.000000
-6.810190 48.248478 0.000000
-6.496367 48.248478 0.000000
-6.182544 48.248478 0.000000
-5.868721 48.248478 0.000000
-5.554898 48.248478 0.000000
-5.241075 48.248478 0.000000
-4.927252 48.248478 0.000000
-4.613429 48.248478 0.000000
-4.299606 48.248478 0.000000
-3.985783 48.248478 0.000000
-3.671960 48.248478 0.000000
-3.358137 48.248478 0.000000
-3.044314 48.248478 0.000000
-2.730491 48.248478 0.000000
-2.416668 48.248478 0.000000
-2.102845 48.248478 0.000000
-1.789022 48.248478 0.000000
-1.475199 48.248478 0.000000
-1.161376 48.248478 0.000000
-0.847553 48.248478 0.000000
-0.533730 48.248478 0.000000
-0.219907 48.248478 0.000000
0.093916 48.248478 0.000000
0.407739 48.248478 0.000000
0.721562 48.248478 0.000000
1.035385 48.248478 0.000000
1.349208 48.248478 0.000000
1.663032 48.248478 0.000000
1.976854 48.248478 0.000000
2.290677 48.248478 0.000000
2.604500 48.248478 0.000000
2.918324 48.248478 0.000000
3.232146 48.248478 0.000000
3.545969 48.248478 0.000000
3.859793 48.248478 0.000000
4.173615 48.248478 0.000000
4.487438 48.248478 0.000000
4.801261 48.248478 0.000000
5.115085 48.248478 0.000000
5.428907 48.248478 0.000000
5.742730 48.248478 0.000000
6.056554 48.248478 0.000000
6.370377 48.248478 0.000000
6.684199 48.248478 0.000000
6.998022 48.248478 0.000000
7.311846 48.248478 0.000000
7.625669 48.248478 0.000000
7.939491 48.248478 0.000000
8.253315 48.248478 0.000000
8.567138 48.248478 0.000000
8.880960 48.248478 0.000000
9.194784 48.248478 0.000000
9.508606 48.248478 0.000000
9.822430 48.248478 0.000000
10.136253 48.248478 0.000000
10.450075 48.248478 0.000000
10.763899 48.248478 0.000000
11.077723 48.248478 0.000000
11.391544 48.248478 0.000000
11.705368 48.248478 0.000000
12.019190 48.248478 0.000000
12.333014 48.248478 0.000000
12.646837 48.248478 0.000000
12.960659 48.248478 0.000000
13.274483 48.248478 0.000000
13.588306 48.248478 0.000000
13.902128 48.248478 0.000000
14.215952 48.248478 0.000000
14.529776 48.248478 0.000000
14.843597 48.248478 0.000000
15.157421 48.248478 0.000000
15.471243 48.248478 0.000000
15.785067 48.248478 0.000000
16.098890 48.248478 0.000000
16.412712 48.248478 0.000000
16.726536 48.248478 0.000000
17.040359 48.248478 0.000000
17.354181 48.248478 0.000000
17.668005 48.248478 0.000000
17.981829 48.248478 0.000000
18.295650 48.248478 0.000000
18.609474 48.248478 0.000000
18.923298 48.248478 0.000000
19.237120 48.248478 0.000000
-6.810190 47.934654 0.000000
-6.496367 47.934654 0.000000
-6.182544 47.934654 0.000000
-5.868721 47.934654 0.000000
-5.554898 47.934654 0.000000
-5.241075 47.934654 0.000000
-4.927252 47.934654 0.000000
-4.613429 47.934654 0.000000
-4.299606 47.934654 0.000000
-3.985783 47.934654 0.000000
-3.671960 47.934654 0.000000
-3.358137 47.934654 0.000000
-3.044314 47.934654 0.000000
-2.730491 47.934654 0.000000
-2.416668 47.934654 0.000000
-2.102845 47.934654 0.000000
-1.789022 47.934654 0.000000
-1.475199 47.934654 0.000000
-1.161376 47.934654 0.000000
-0.847553 47.934654 0.000000
-0.533730 47.934654 0.000000
-0.219907 47.934654 0.000000
0.093916 47.934654 0.000000
0.407739 47.934654 0.000000
0.721562 47.934654 0.000000
1.035385 47.934654 0.000000
1.349208 47.934654 0.000000
1.663032 47.934654 0.000000
1.976854 47.934654 0.000000
2.290677 47.934654 0.000000
2.604500 47.934654 0.000000
2.918324 47.934654 0.000000
3.232146 47.934654 0.000000
3.545969 47.934654 0.000000
3.859793 47.934654 0.000000
4.173615 47.934654 0.000000
4.487438 47.934654 0.000000
4.801261 47.934654 0.000000
5.115085 47.934654 0.000000
5.428907 47.934654 0.000000
5.742730 47.934654 0.000000
6.056554 47.934654 0.000000
6.370377 47.934654 0.000000
6.684199 47.934654 0.000000
6.998022 47.934654 0.000000
7.311846 47.934654 0.000000
7.625669 47.934654 0.000000
7.939491 47.934654 0.000000
8.253315 47.934654 0.000000
8.567138 47.934654 0.000000
8.880960 47.934654 0.000000
9.194784 47.934654 0.000000
9.508606 47.934654 0.000000
9.822430 47.934654 0.000000
10.136253 47.934654 0.889976
10.450075 47.934654 4.856983
10.763899 47.934654 1.499429
11.077723 47.934654 3.183048
11.391544 47.934654 5.782471
11.705368 47.934654 5.885363
12.019190 47.934654 5.023099
12.333014 47.934654 3.609685
12.646837 47.934654 3.548002
12.960659 47.934654 3.665748
13.274483 47.934654 4.045581
13.588306 47.934654 3.042317
13.902128 47.934654 3.021713
14.215952 47.934654 2.731999
14.529776 47.934654 2.405644
14.843597 47.934654 2.279221
15.157421 47.934654 2.070337
15.471243 47.934654 1.925594
15.785067 47.934654 1.774960
16.098890 47.934654 1.573132
16.412712 47.934654 1.561402
16.726536 47.934654 1.551077
17.040359 47.934654 1.538780
17.354181 47.934654 1.368469
17.668005 47.934654 1.399943
17.981829 47.934654 1.466243
18.295650 47.934654 1.522280
18.609474 47.934654 1.521876
18.923298 47.934654 1.558793
19.237120 47.934654 0.000000
-6.810190 47.620834 0.000000
-6.496367 47.620834 0.000000
-6.182544 47.620834 0.045665
-5.868721 47.620834 0.044782
-5.554898 47.620834 0.060039
-5.241075 47.620834 0.059698
-4.927252 47.620834 0.062055
-4.613429 47.620834 0.067074
-4.299606 47.620834 0.068851
-3.985783 47.620834 0.065755
-3.671960 47.620834 0.064213
-3.358137 47.620834 0.063271
-3.044314 47.620834 0.063411
-2.730491 47.620834 0.065854
-2.416668 47.620834 0.067119
-2.102845 47.620834 0.064985
-1.789022 47.620834 0.063493
-1.475199 47.620834 0.063194
-1.161376 47.620834 0.064215
-0.847553 47.620834 0.064882
-0.533730 47.620834 0.064308
-0.219907 47.620834 0.066303
0.093916 47.620834 0.067245
0.407739 47.620834 0.064723
0.721562 47.620834 0.063244
1.035385 47.620834 0.061570
1.349208 47.620834 0.060427
1.663032 47.620834 0.060722
1.976854 47.620834 0.061550
2.290677 47.620834 0.061639
2.604500 47.620834 0.060138
2.918324 47.620834 0.061553
3.232146 47.620834 0.063119
3.545969 47.620834 0.062102
3.859793 47.620834 0.060716
4.173615 47.620834 0.060753
4.487438 47.620834 0.059074
4.801261 47.620834 0.057845
5.115085 47.620834 0.059061
5.428907 47.620834 0.060552
5.742730 47.620834 0.060776
6.056554 47.620834 0.059612
6.370377 47.620834 0.056988
6.684199 47.620834 0.057212
6.998022 47.620834 0.057961
7.311846 47.620834 0.060233
7.625669 47.620834 0.065877
7.939491 47.620834 0.070921
8.253315 47.620834 0.079442
8.567138 47.620834 0.092286
8.880960 47.620834 0.115825
9.194784 47.620834 0.154064
9.508606 47.620834 0.235586
9.822430 47.620834 0.327936
10.136253 47.620834 0.460655
10.450075 47.620834 0.602040
10.763899 47.620834 0.745390
11.077723 47.620834 0.937389
11.391544 47.620834 1.149247
11.705368 47.620834 1.380702
12.019190 47.620834 1.555158
12.333014 47.620834 1.757101
12.646837 47.620834 1.945451
12.960659 47.620834 2.053004
13.274483 47.620834 2.200587
13.588306 47.620834 2.293380
13.902128 47.620834 2.359253
14.215952 47.620834 2.395968
14.529776 47.620834 2.412904
14.843597 47.620834 2.322212
15.157421 47.620834 2.203059
15.471243 47.620834 2.078703
15.785067 47.620834 1.955817
16.098890 47.620834 1.853699
16.412712 47.620834 1.771845
16.726536 47.620834 1.707477
17.040359 47.620834 1.609430
17.354181 47.620834 1.571207
17.668005 47.620834 1.542264
17.981829 47.620834 1.553394
18.295650 47.620834 1.565918
18.609474 47.620834 1.581258
18.923298 47.620834 1.437026
19.237120 47.620834 0.000000
-6.810190 47.307011 0.000000
-6.496367 47.307011 0.000000
-6.182544 47.307011 0.034701
-5.868721 47.307011 0.045684
-5.554898 47.307011 0.045782
-5.241075 47.307011 0.044951
-4.927252 47.307011 0.045617
-4.613429 47.307011 0.048693
-4.299606 47.307011 0.050293
-3.985783 47.307011 0.048812
-3.671960 47.307011 0.047954
-3.358137 47.307011 0.046706
-3.044314 47.307011 0.046209
-2.730491 47.307011 0.047752
-2.416668 47.307011 0.048767
-2.102845 47.307011 0.047626
-1.789022 47.307011 0.047206
-1.475199 47.307011 0.046756
-1.161376 47.307011 0.048240
-0.847553 47.307011 0.048167
-0.533730 47.307011 0.047455
-0.219907 47.307011 0.049145
0.093916 47.307011 0.050193
0.407739 47.307011 0.048899
0.721562 47.307011 0.047853
1.035385 47.307011 0.047387
1.349208 47.307011 0.046994
1.663032 47.307011 0.046758
1.976854 47.307011 0.047393
2.290677 47.307011 0.047606
2.604500 47.307011 0.046822
2.918324 47.307011 0.047224
3.232146 47.307011 0.048174
3.545969 47.307011 0.047248
3.859793 47.307011 0.046875
4.173615 47.307011 0.046785
4.487438 47.307011 0.045317
4.801261 47.307011 0.044148
