,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
37,40.0077821012,0.491228070175,0.46254743231,1.66723587684,9.41911700745,-0.126948942003,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,7.0837185667
38,40.0077821012,0.614035087719,0.564054222211,1.63373627446,10.2890473578,-0.174278835454,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,5.62189522608
39,40.0077821012,0.736842105263,0.664304327297,1.54768145206,10.9794555434,-0.217307606336,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,5.3307468424
40,40.0077821012,0.859649122807,0.747784250062,1.49142837824,11.6341086644,-0.253354985191,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.77190806953
41,40.0077821012,0.982456140351,0.809938506147,1.48816955843,11.8517114098,-0.27179770783,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,2.25451643204
42,40.0077821012,1.10526315789,0.871999229953,1.47582313622,12.1285818488,-0.294482942247,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.38353444083
43,40.0077821012,1.22807017544,0.909356547243,1.47746312648,12.2984895872,-0.301551401128,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.0260103629
44,40.0077821012,1.35087719298,0.936743839836,1.48336589182,12.4244908598,-0.30213470497,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.0300671444
45,40.0077821012,1.47368421053,0.962311575405,1.491501789,12.5509903337,-0.302021205426,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.05193259345
46,40.0077821012,1.59649122807,0.983179513966,1.50854778528,12.6801750381,-0.299106704278,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.05288148956
47,40.0077821012,1.71929824561,1.00346329032,1.52581119194,12.8094762737,-0.296741241179,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.0543845136
