,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
40,20.0290697674,0.127659574468,0.552649026241,3.07063619805,5.881776583,0.126104158033,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,8.50843665495
41,20.0290697674,0.255319148936,0.514228865282,2.63635975977,6.96795998576,0.0383174692896,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,8.03392963961
42,20.0290697674,0.382978723404,0.536716974347,2.21841299871,7.99356802486,-0.0541785794244,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,8.03027770706
43,20.0290697674,0.510638297872,0.584447358895,1.85818533976,9.0187098598,-0.145567429801,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,4.22531594246
44,20.0290697674,0.63829787234,0.722459066179,1.73779685904,9.55811189501,-0.21820601635,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,4.7870270174
45,20.0290697674,0.765957446809,0.831018844723,1.55254182635,10.169221727,-0.299841277494,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,2.00746498084
46,20.0290697674,0.893617021277,0.908219918562,1.52915731413,10.4254938522,-0.339036900766,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.4978149785
47,20.0290697674,1.02127659574,0.976544261341,1.53676569219,10.616704275,-0.370495183239,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.35610605618
48,20.0290697674,1.14893617021,1.02885082309,1.55425643406,10.7898241971,-0.393797121593,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.1263177938
49,20.0290697674,1.27659574468,1.05689954847,1.58383279283,10.9336094474,-0.404459533405,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.12219799165
50,20.0290697674,1.40425531915,1.08323677129,1.61288636837,11.0768687654,-0.414380516943,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.16976349838
51,20.0290697674,1.53191489362,1.10415661887,1.64053770469,11.2262002759,-0.426354221961,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.17948589178
52,20.0290697674,1.65957446809,1.12346763502,1.66865094885,11.3767729429,-0.438946902197,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.20999280056
53,20.0290697674,1.78723404255,1.13807068498,1.69196239824,11.5312401089,-0.452225868952,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.26392527568
54,20.0290697674,1.91489361702,1.14517645328,1.7077076167,11.6925922718,-0.46693177666,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.27222076716
55,20.0290697674,2.04255319149,1.15275930565,1.7239832788,11.8550034336,-0.48129220613,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.32834484614
56,20.0290697674,2.17021276596,1.15733590381,1.73770441992,12.0245793714,-0.495377566092,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.34600014227
57,20.0290697674,2.29787234043,1.16013810738,1.75005108012,12.1964091768,-0.509515736102,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.37852017291
58,20.0290697674,2.42553191489,1.16082158783,1.76088322234,12.3723904754,-0.522704806576,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.44072501283
59,20.0290697674,2.55319148936,1.16124749903,1.76904994393,12.5563128175,-0.535135594569,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.43763885729
60,20.0290697674,2.68085106383,1.16233629991,1.77788841962,12.7398411822,-0.547745813891,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.47798616105
61,20.0290697674,2.8085106383,1.16093659201,1.77903989756,12.9285202666,-0.555116043483,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.46138123104
62,20.0290697674,2.93617021277,1.16080442503,1.78223820953,13.1150795727,-0.562629504373,Sr20R21_phi0_alpha0_U20_loc05.dat,serrated,0,0,20,0.25,1.47868811129
