,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
69,0.0,4.42105263158,1.08542268751,1.58010198128,13.3040180838,-1.49425611079,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.75154098938
70,0.0,4.54385964912,1.07358296577,1.56518491077,13.5191196088,-1.50394559677,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.76938048296
71,0.0,4.66666666667,1.05966927688,1.54844211974,13.7364119488,-1.51450034013,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.8097309569
72,0.0,4.78947368421,1.0398549148,1.52727563741,13.9586596102,-1.52705333673,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.80460608014
73,0.0,4.91228070175,1.02042873502,1.5070692395,14.1802779007,-1.53926289535,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.78229127253
74,0.0,5.0350877193,1.00471819573,1.48453698622,14.3991557763,-1.55318210737,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.77988047328
75,0.0,5.15789473684,0.989714699668,1.45990818128,14.6177375888,-1.56827238213,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.76518394756
76,0.0,5.28070175439,0.975346608988,1.43649579196,14.8345145648,-1.58349665456,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.72486762481
77,0.0,5.40350877193,0.963455787944,1.41810109675,15.0463404135,-1.59974775991,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.72258710077
78,0.0,5.52631578947,0.95190590982,1.40036899562,15.2578861978,-1.61629108631,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.6512071617
79,0.0,5.64912280702,0.939471055296,1.38459152231,15.4606660246,-1.63136408786,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.57734898388
80,0.0,5.77192982456,0.927476483433,1.37234180191,15.654375549,-1.64455710938,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.57350290264
81,0.0,5.89473684211,0.913980382367,1.35763149489,15.8476127476,-1.65790575105,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.51452478305
82,0.0,6.01754385965,0.892432241514,1.33094458717,16.0336070192,-1.6713560831,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.50083105998
83,0.0,6.14035087719,0.86836233088,1.30069301251,16.2179196055,-1.68484095525,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.48790751326
84,0.0,6.26315789474,0.844919537267,1.26759101502,16.4006450896,-1.69755445342,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.46418136316
85,0.0,6.38596491228,0.823308130244,1.22698461062,16.5804568359,-1.70803590593,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.47091357603
86,0.0,6.50877192982,0.800348733074,1.18492362995,16.7610953452,-1.71942244558,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.42315666235
87,0.0,6.63157894737,0.779787369771,1.14922081717,16.9358689704,-1.72919059657,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.42191287414
88,0.0,6.75438596491,0.758520356399,1.1129917505,17.1104898497,-1.7394138784,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.39786976891
89,0.0,6.87719298246,0.738052649756,1.07588480046,17.282158067,-1.74763176853,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.32962954776
90,0.0,7.0,0.721008881949,1.03870784847,17.4454459062,-1.75027655122,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.33795984841
91,0.0,7.12280701754,0.703527509155,1.00025221298,17.6097567647,-1.75305693977,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.23950678191
92,0.0,7.24561403509,0.681443858644,0.955139822136,17.7619768959,-1.75765900497,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.21275546958
93,0.0,7.36842105263,0.658085298175,0.906838703638,17.9109117781,-1.76255999948,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.15885851501
94,0.0,7.49122807018,0.634711827128,0.85690086507,18.0532277361,-1.7669768851,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.00700015056
95,0.0,7.61403508772,0.612677272897,0.807138877685,18.1768944212,-1.76989876057,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.9866673123
96,0.0,7.73684210526,0.590275090061,0.754377684991,18.2980640912,-1.77253570942,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.900259250596
97,0.0,7.85964912281,0.565506271758,0.701006773283,18.4086222447,-1.77674954002,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.818668976185
98,0.0,7.98245614035,0.53710305896,0.646933788409,18.5091605401,-1.78252662019,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.802166868417
99,0.0,8.10526315789,0.508456374172,0.590695971939,18.6076722607,-1.7875735104,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.689310758413
100,0.0,8.22807017544,0.48176908302,0.541152331461,18.6923244591,-1.79067758227,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.675141875498
101,0.0,8.35087719298,0.453917270313,0.48813302358,18.7752366193,-1.7935072894,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.593973867774
102,0.0,8.47368421053,0.42867022953,0.441440254865,18.8481807785,-1.79429920285,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.452837985173
103,0.0,8.59649122807,0.409720952134,0.412161413008,18.9037924609,-1.79114685177,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.48382881631
104,0.0,8.71929824561,0.388482337269,0.376051549387,18.9632100348,-1.78829807909,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.307753172806
105,0.0,8.84210526316,0.372131636323,0.357181338258,19.0010042841,-1.78429507416,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.295562696691
106,0.0,8.9649122807,0.355377474496,0.33857445447,19.0373014574,-1.77984993604,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.257256908649
107,0.0,9.08771929825,0.338284278318,0.321890541763,19.0688944111,-1.77563662078,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.19426786811
108,0.0,9.21052631579,0.320567369076,0.308877789573,19.0927518686,-1.77234083999,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,0.199049718462
