,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
67,0.0,4.8018018018,1.61518451559,1.49935510898,14.1320042277,-0.677760577781,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.56119829721
68,0.0,4.91891891892,1.58196863881,1.47694961706,14.3148472715,-0.695123628142,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.53741226395
69,0.0,5.03603603604,1.54143963609,1.44926071842,14.4949045637,-0.717019337173,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.55497063659
70,0.0,5.15315315315,1.50372702419,1.42070807397,14.6770182418,-0.735579644782,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.56696487106
71,0.0,5.27027027027,1.46930644549,1.3884130526,14.8605366502,-0.748163824596,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.55459000501
72,0.0,5.38738738739,1.43426553755,1.35529202739,15.0426057498,-0.760259215129,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.5376655602
73,0.0,5.5045045045,1.40301323656,1.32633087426,15.2226927073,-0.776985489678,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.52716217062
74,0.0,5.62162162162,1.37177548178,1.29964856511,15.4015495381,-0.798073710046,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.52481243708
75,0.0,5.73873873874,1.34060845621,1.27323025014,15.5801311749,-0.818943793714,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.5075183307
76,0.0,5.85585585586,1.31042634063,1.24918161661,15.7566873758,-0.83960381388,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.5011175222
77,0.0,5.97297297297,1.28085700393,1.22664883838,15.9324939325,-0.860049741205,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.48607882609
78,0.0,6.09009009009,1.25089197113,1.19932607299,16.1065392004,-0.880959580923,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.46017390371
79,0.0,6.20720720721,1.22161498491,1.16357498396,16.2775505585,-0.903652700258,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.45257434364
80,0.0,6.32432432432,1.19187803978,1.12752011067,16.447671878,-0.926482303945,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.38266871224
81,0.0,6.44144144144,1.15316719844,1.09264151902,16.6096060515,-0.949629050835,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.36063663668
82,0.0,6.55855855856,1.10841090466,1.0590949885,16.7689598918,-0.972567290557,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.33398824691
