,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
34,20.0038910506,0.122807017544,0.343849508961,1.36336679175,5.80699008693,-0.0321828438708,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,10.0051845385
35,20.0038910506,0.245614035088,0.448935993269,1.43950649573,7.03569696009,-0.0232099206761,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,7.17921229787
36,20.0038910506,0.368421052632,0.589277897498,1.41819769032,7.9173546107,-0.0153384844472,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,7.03991996799
37,20.0038910506,0.491228070175,0.704202185564,1.39522037534,8.78190618572,-0.00721203669154,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,4.69314953058
38,20.0038910506,0.614035087719,0.80829412644,1.40058200659,9.35825788246,-0.00232837812542,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,3.28517659967
39,20.0038910506,0.736842105263,0.904826486931,1.41708858367,9.76170062277,0.000713659240794,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,2.92566927247
40,20.0038910506,0.859649122807,0.983286308252,1.4362538117,10.1209933404,-0.00227640373482,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.2152349389
41,20.0038910506,0.982456140351,1.02363697266,1.46234328977,10.2702327189,-0.020372485138,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.06147917388
42,20.0038910506,1.10526315789,1.05713577658,1.49028303786,10.4005898104,-0.0381702354222,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.14796443206
43,20.0038910506,1.22807017544,1.08073824487,1.5180878049,10.5415678986,-0.0590318255658,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.27753704072
44,20.0038910506,1.35087719298,1.095330162,1.54606531741,10.6984584124,-0.0846399029087,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.2673610501
45,20.0038910506,1.47368421053,1.11179866996,1.57389179235,10.8540992431,-0.11044062334,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.29496464945
46,20.0038910506,1.59649122807,1.12428305705,1.59281538078,11.0131299895,-0.135731273488,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.29067213219
47,20.0038910506,1.71929824561,1.1357495266,1.61186640493,11.1716335847,-0.159723940251,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.32261644364
48,20.0038910506,1.84210526316,1.1448167971,1.63352107567,11.3340601655,-0.180766603169,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.37172163998
49,20.0038910506,1.9649122807,1.15427068497,1.65631912329,11.502517209,-0.202877315004,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.40003667428
50,20.0038910506,2.08771929825,1.16608186722,1.67686568981,11.6744515374,-0.226559732985,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.48239517618
51,20.0038910506,2.21052631579,1.17501553622,1.69797465907,11.8565000678,-0.2450093051,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.51677418086
52,20.0038910506,2.33333333333,1.18600561083,1.72148480971,12.0427705812,-0.264701908295,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.51127566781
53,20.0038910506,2.45614035088,1.19490408841,1.74155998549,12.2283658387,-0.281696129415,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.5255826569
54,20.0038910506,2.57894736842,1.19909436941,1.75619166473,12.4157180948,-0.298519971179,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.54006662605
55,20.0038910506,2.70175438596,1.20169837101,1.76956972624,12.604849084,-0.317720018623,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.50305791774
56,20.0038910506,2.82456140351,1.20029680048,1.77426765819,12.789435144,-0.331942338278,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.48455690626
57,20.0038910506,2.94736842105,1.19621274442,1.77330716698,12.9717491501,-0.343725952292,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.48777104022
58,20.0038910506,3.0701754386,1.19014515865,1.77030008263,13.1544578743,-0.356708037907,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.46501459713
59,20.0038910506,3.19298245614,1.18141482835,1.76655609251,13.3343719476,-0.367814159826,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.47199597255
60,20.0038910506,3.31578947368,1.17303307947,1.76417315769,13.5151433829,-0.379270648604,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.4950371978
61,20.0038910506,3.43859649123,1.16435820945,1.7601159268,13.6987444422,-0.389832033598,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.51097522782
62,20.0038910506,3.56140350877,1.15466683972,1.75245993415,13.8843028036,-0.400082796876,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.50610575419
63,20.0038910506,3.68421052632,1.14422861341,1.74342890621,14.0692631593,-0.410944430015,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.44379296292
64,20.0038910506,3.80701754386,1.1351188304,1.73413032922,14.2465710671,-0.420418328591,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.43726338144
65,20.0038910506,3.9298245614,1.12745863014,1.72831345347,14.4230770964,-0.431195948933,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.47817271647
66,20.0038910506,4.05263157895,1.11533424491,1.71107106028,14.6046070791,-0.442997885368,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.50325402835
67,20.0038910506,4.17543859649,1.09881649369,1.68310993745,14.7892172229,-0.454112837306,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.47547632942
