,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
0,0.0,1.03703703704,1.04048913752,1.73930547119,6.92353496252,-1.2165434156,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.91359812467
1,0.0,1.15226337449,1.05873021812,1.74569583495,7.14403186578,-1.22350199645,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.9252867037
2,0.0,1.26748971193,1.0768388688,1.75155775327,7.36587560118,-1.23057422969,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.82365591979
3,0.0,1.38271604938,1.09484950979,1.75572824629,7.57600879359,-1.24627595863,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.80749149226
4,0.0,1.49794238683,1.11273148481,1.75944258393,7.78427941821,-1.26344348149,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.81939145247
5,0.0,1.61316872428,1.12678714766,1.76531408051,7.99392123166,-1.27728338539,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.78580270248
6,0.0,1.72839506173,1.13568913146,1.76571198785,8.19969273648,-1.2822999595,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.78477784079
7,0.0,1.84362139918,1.14491349249,1.76572974178,8.40534615023,-1.28860523094,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.8327963009
8,0.0,1.95884773663,1.1563212811,1.76982778796,8.61653255527,-1.29617875431,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.89951236384
9,0.0,2.07407407407,1.1709234623,1.77659238455,8.83540640789,-1.3080025669,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.89706318606
10,0.0,2.18930041152,1.18554479198,1.78326889885,9.05399805073,-1.31976733214,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.9015044667
11,0.0,2.30452674897,1.19432457328,1.78189699515,9.27310144607,-1.33105188832,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.9067564215
12,0.0,2.41975308642,1.20265681091,1.77843825111,9.49281000493,-1.34186204961,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.89677016503
13,0.0,2.53497942387,1.20826092137,1.77412609262,9.71136788403,-1.3546891227,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.85499756424
14,0.0,2.65020576132,1.20513507834,1.77137285651,9.92511245933,-1.37043497273,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.8569674041
15,0.0,2.76543209877,1.1997993404,1.76929815195,10.1390840121,-1.38708882112,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.81254401326
16,0.0,2.88065843621,1.19700916689,1.76708186178,10.3479368202,-1.40149657306,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.75444902232
17,0.0,2.99588477366,1.19701102237,1.76546425904,10.5500955553,-1.41462926341,STE_phi0_alpha0_U20_loc00.dat,straight,0,0,20,0,1.75022308644
